City,Counties,Population
Asheville,BUNCOMBE,90918
High Point,GUILFORD/DAVIDSON/RANDOLPH/FORSYTH,109749
Wilmington,NEW HANOVER,115498
Cary,WAKE/CHATHAM,152627
Fayetteville,CUMBERLAND,208158
Winston-Salem,FORSYTH,238899
Durham,DURHAM/ORANGE/WAKE,250931
Greensboro,GUILFORD,282840
Raleigh,WAKE/DURHAM,440621
Charlotte,MECKLENBURG,818480
